path,file,count
Source/core/html/parser,XSSAuditor.cpp,56
Source/WebCore/platform/graphics,Font.cpp,56
Source/WebCore/html,HTMLDocument.cpp,56
Source/core/dom,StyleEngine.h,56
Source/WebCore/Modules/indexeddb,IDBRequest.cpp,56
Source/WebCore/bindings/scripts/test/V8,V8TestException.h,56
Source/core/dom,CustomElementRegistry.cpp,55
Source/WebCore/html/shadow,MediaControls.cpp,55
Source/WebCore/loader,ResourceLoader.h,55
Source/core/dom,FullscreenElementStack.cpp,55
Source/WebCore/loader,TextTrackLoader.cpp,55
Source/WebCore/rendering,RenderText.h,55
Source/WebCore/html/shadow,SliderThumbElement.cpp,55
Source/core/css,StyleResolverState.cpp,55
Source/WebCore/rendering,RenderFlexibleBox.cpp,54
Source/WebCore/bindings/js,PageScriptDebugServer.cpp,54
Source/WebCore/css,StylePropertySet.h,54
Source/WebCore/rendering/svg,SVGRenderTreeAsText.cpp,54
Source/WebCore/workers,WorkerThread.cpp,54
Source/WTF/wtf/text,StringImpl.cpp,54
Source/WebCore/inspector,InspectorProfilerAgent.cpp,54
Source/bindings/v8,V8LazyEventListener.cpp,54
Source/WebCore/Modules/indexeddb,IDBObjectStore.cpp,54
Source/WebCore/bindings/v8,V8PerIsolateData.h,54
Source/WebCore/bindings/v8,V8AbstractEventListener.cpp,54
Source/core/dom,ShadowRoot.h,54
Source/bindings/tests/results,V8TestExtendedEvent.cpp,53
Source/bindings/tests/results,V8TestInterfaceConstructor.cpp,53
Source/WebCore/bindings/v8,V8NPObject.cpp,53
Source/WebCore/dom,SelectorQuery.cpp,53
Source/WebCore/rendering,RenderListMarker.cpp,53
Source/WebCore/css,CSSValue.h,53
Source/WebCore/rendering,RenderReplaced.cpp,53
Source/WebCore/platform/graphics,GraphicsContext3D.h,53
Source/WebCore/html,HTMLPlugInElement.h,53
Source/WebKit/chromium/src,WebSharedWorkerImpl.cpp,52
Source/WebCore/rendering,RenderVideo.cpp,52
Source/WebCore/bindings/js,DOMWrapperWorld.h,52
Source/WebCore/Modules/mediasource,SourceBuffer.cpp,52
Source/WebCore/html,HTMLAppletElement.cpp,52
Source/core/css,CSSFontFaceSource.cpp,52
Source/WebCore/html,HTMLTableElement.cpp,52
Source/WebCore/dom,MessagePort.cpp,52
Source/WebCore/accessibility,AccessibilityNodeObject.cpp,52
Source/WebCore/rendering,RenderBoxModelObject.h,52
Source/modules/mediastream,MediaStream.cpp,52
Source/WebCore/dom,ProcessingInstruction.cpp,52
